gender,product_id,total_transactions
male,647,60
male,656,63
male,68,71
male,622,49
male,385,39
female,435,52
female,729,35
female,210,58
female,611,49
female,314,63
female,902,27
female,399,32
female,722,69
female,696,52
female,885,59
female,259,71
female,869,56
female,650,69
female,946,36
male,23,61
male,814,62
male,908,87
male,749,62
male,818,69
male,182,57
male,948,53
male,239,64
male,116,44
male,899,49
male,992,79
male,871,91
male,961,55
male,882,59
male,77,68
male,680,38
male,623,98
male,786,39
male,272,54
male,782,44
male,721,34
male,825,39
male,332,85
male,167,67
male,290,73
male,586,46
male,846,40
male,400,58
male,907,39
male,82,83
male,493,79
male,1000,56
male,655,71
male,61,11
male,972,47
male,449,49
male,408,69
male,197,68
male,27,76
male,828,49
male,653,72
male,273,54
male,30,36
male,525,52
male,595,36
male,359,45
male,905,74
male,507,38
female,839,88
female,338,58
female,469,39
female,628,59
female,642,38
female,373,106
female,57,61
female,1000,42
female,256,44
female,519,77
female,441,65
female,927,54
female,816,49
female,267,59
female,59,56
female,646,50
female,768,62
female,692,56
female,385,36
female,641,40
female,912,23
female,753,43
female,319,31
female,335,49
female,525,47
female,445,68
female,121,54
male,504,64
male,717,62
male,625,50
male,161,61
male,780,36
male,459,57
male,940,55
male,505,52
male,873,47
male,912,31
male,334,53
male,962,73
male,325,69
male,548,27
male,920,70
male,445,73
male,63,40
male,353,59
male,320,63
male,522,105
male,642,47
male,374,55
male,44,71
male,203,49
male,561,53
male,606,66
male,989,32
male,602,51
female,237,62
female,203,41
female,761,37
female,966,54
female,327,47
female,800,57
female,228,20
female,625,39
female,190,66
female,914,53
female,282,55
female,564,41
female,805,61
male,847,60
male,664,41
male,251,46
male,966,54
male,555,44
male,928,35
male,969,56
male,92,68
male,433,40
female,364,71
female,200,51
female,377,70
female,510,64
female,715,66
female,708,66
female,636,55
female,14,85
female,222,50
female,345,41
female,128,54
male,583,39
male,677,61
male,285,69
male,734,64
male,422,53
male,942,61
male,649,40
female,516,53
female,249,38
female,170,55
female,685,38
female,795,55
female,156,27
female,416,33
female,40,64
male,414,65
male,853,82
male,950,42
male,16,53
male,538,36
male,584,34
male,822,83
male,264,66
male,694,39
female,758,51
female,573,44
female,944,45
female,236,50
female,165,60
female,548,26
female,324,40
male,541,44
male,799,41
male,291,49
male,880,65
male,726,49
male,302,53
male,349,41
male,287,31
male,936,54
male,14,77
male,854,54
male,594,62
male,778,49
male,257,34
male,531,34
male,347,39
male,233,54
male,542,40
male,911,59
male,446,68
male,131,47
male,876,69
male,396,44
male,232,77
male,301,24
male,690,30
male,953,43
male,978,91
male,545,45
male,716,61
male,692,60
male,633,65
male,565,44
male,275,16
female,780,38
female,110,86
female,429,60
female,691,60
female,549,69
female,196,48
female,764,57
female,304,29
female,810,28
female,959,52
female,82,85
female,785,65
male,375,45
male,297,59
male,559,60
male,996,43
male,496,75
female,204,73
female,793,56
female,180,46
female,182,58
female,938,56
female,945,46
female,854,58
female,637,40
female,326,91
female,157,70
female,925,52
female,320,58
female,542,42
female,899,61
female,598,41
female,891,29
female,501,43
female,33,104
female,750,55
female,343,83
male,605,64
male,526,54
male,687,27
female,497,55
female,287,33
female,778,45
female,98,35
female,119,64
female,720,61
female,232,82
female,690,41
female,953,42
female,978,95
female,545,59
female,716,40
female,633,68
female,565,42
female,275,19
male,403,17
male,557,44
male,765,23
male,519,75
male,107,36
male,473,51
male,983,16
male,930,65
male,837,30
male,917,46
male,442,55
male,830,29
male,870,98
male,579,30
male,895,35
male,343,86
male,448,84
male,289,58
male,981,42
male,791,16
male,960,40
male,813,14
male,784,48
male,218,47
female,475,36
female,83,39
female,454,33
female,970,67
female,824,30
female,855,56
female,51,53
female,934,64
female,616,54
female,619,56
female,592,52
female,760,41
female,909,53
female,418,37
female,395,45
female,627,55
female,887,32
female,792,40
female,689,63
female,858,24
male,326,82
male,255,57
male,430,19
male,657,60
female,930,77
female,620,64
female,862,49
female,786,45
female,940,51
female,820,50
female,947,56
male,235,67
male,867,39
male,64,72
male,258,59
male,662,42
male,215,38
male,216,79
male,392,70
male,517,56
male,888,29
male,738,45
male,313,60
male,454,46
male,259,75
male,971,46
male,875,32
male,671,40
male,769,29
male,154,82
male,935,66
male,864,64
male,176,62
male,219,69
male,2,40
male,794,67
male,660,55
female,552,64
female,530,28
female,482,50
female,629,41
female,77,59
female,603,97
female,932,82
female,97,48
female,408,69
female,951,72
female,739,72
female,104,37
female,474,75
female,586,49
female,755,44
female,425,55
male,70,63
male,776,44
male,967,79
male,110,82
male,412,78
male,672,75
male,489,55
male,242,42
male,55,52
male,352,109
male,148,34
male,265,48
male,130,62
male,402,54
male,220,46
male,372,61
male,319,44
male,532,51
male,40,87
female,803,87
female,216,86
female,253,88
female,58,53
female,670,65
female,889,53
female,557,57
female,55,42
female,60,21
female,725,59
male,129,68
male,506,48
male,366,44
male,468,46
male,607,68
male,796,39
male,695,52
male,566,24
male,29,36
male,365,63
male,458,48
male,839,71
male,351,49
male,245,44
male,416,57
male,785,61
male,252,50
male,128,40
male,750,67
male,423,71
male,964,56
female,78,62
female,281,27
female,75,27
female,118,60
female,46,43
female,261,29
female,381,65
female,295,69
female,535,55
female,74,43
male,324,42
female,846,26
female,721,35
female,255,46
female,430,20
female,504,56
female,483,60
female,657,64
female,775,47
female,585,73
female,166,31
female,455,78
male,296,57
male,360,60
male,331,66
male,998,29
male,371,36
male,466,42
male,210,53
male,393,63
male,140,33
male,94,53
male,33,102
male,463,49
male,916,60
female,485,75
female,521,89
female,229,72
female,659,55
female,397,37
female,807,36
female,244,24
female,728,59
female,36,42
female,850,53
female,440,62
female,466,45
female,593,38
female,420,61
female,916,64
female,459,55
female,25,57
female,143,57
female,777,49
female,804,46
female,481,66
female,289,53
female,460,47
male,620,52
male,862,43
male,820,57
male,947,54
female,710,50
female,605,83
female,836,94
female,808,74
female,311,46
male,808,78
male,790,53
male,76,36
male,762,37
female,590,49
female,543,54
female,652,47
female,749,79
male,982,25
male,932,73
male,417,54
male,679,61
male,336,38
male,924,51
male,770,40
male,222,42
male,516,60
male,787,56
male,314,65
female,845,78
female,492,29
female,188,74
female,918,68
female,672,87
male,688,29
male,803,81
male,591,70
male,65,32
male,596,58
male,743,40
male,705,57
male,323,48
female,31,49
female,452,29
female,931,63
female,538,24
female,316,49
female,24,53
female,341,32
male,573,48
male,852,35
male,893,29
male,521,75
male,497,49
male,269,46
male,427,65
male,697,21
female,828,73
female,976,73
female,790,51
female,907,54
female,293,29
female,662,57
female,859,39
female,384,37
female,174,63
female,811,54
female,574,42
male,807,23
male,861,29
male,987,36
male,977,32
male,902,33
male,162,22
male,491,59
male,225,55
male,851,30
male,933,56
male,330,54
male,452,33
male,310,28
male,614,30
male,949,39
male,683,45
female,754,42
female,856,111
female,985,38
female,950,53
female,184,65
female,442,53
female,731,36
female,34,47
female,727,46
female,297,76
female,215,48
female,823,60
female,752,48
female,929,46
female,376,49
female,653,85
female,702,54
female,271,63
female,382,46
female,61,10
female,995,88
male,435,61
male,243,34
male,925,77
male,115,58
male,740,46
male,120,33
male,720,61
male,169,54
male,946,49
male,368,33
male,834,38
male,809,84
male,204,78
male,322,56
male,500,50
male,670,64
male,133,29
male,124,42
male,945,52
male,788,26
male,485,55
male,15,25
male,654,61
male,768,73
female,955,25
female,207,55
female,706,37
male,9,48
male,223,66
male,355,59
male,118,69
male,866,34
male,723,51
male,603,77
male,267,59
female,993,37
female,436,53
female,432,50
female,893,38
female,948,59
female,996,37
female,356,45
female,106,44
male,391,43
male,217,65
male,751,99
male,630,92
male,193,43
male,959,45
male,741,55
male,234,46
male,426,31
male,801,40
male,901,30
male,639,57
male,444,36
male,760,36
male,78,81
female,303,81
female,276,31
male,45,32
male,827,60
male,523,30
male,797,25
male,965,46
male,550,45
female,524,69
female,413,58
female,49,45
female,822,61
female,522,102
female,655,66
female,699,58
female,737,65
male,929,50
male,413,66
male,860,34
female,331,73
female,838,55
female,1,66
female,332,107
female,308,41
female,559,57
female,199,53
female,614,41
female,189,59
female,273,58
female,423,90
male,693,48
male,772,52
female,870,93
female,300,53
female,407,39
female,601,34
female,147,39
female,410,52
female,473,65
female,834,46
female,735,45
female,192,51
female,515,23
female,351,58
female,867,40
female,369,77
female,599,61
female,606,50
female,393,59
female,168,66
male,74,51
male,800,59
male,97,56
male,113,65
female,833,38
female,151,43
female,149,57
female,424,55
female,310,41
male,8,55
male,629,35
female,698,68
female,941,60
female,772,46
female,448,87
female,379,30
female,511,21
male,574,38
male,781,44
male,999,65
male,878,50
male,615,75
male,609,37
male,170,42
female,656,63
female,458,61
female,973,45
female,536,46
female,457,29
female,674,58
female,28,64
female,446,81
female,21,61
female,248,34
female,158,76
female,676,62
female,920,70
female,556,61
female,87,43
female,774,32
female,66,24
female,362,71
female,470,34
female,500,27
female,665,19
female,283,32
