location_description,count
CHURCH / SYNAGOGUE / PLACE OF WORSHIP,1292
AIRPORT BUILDING NON-TERMINAL - NON-SECURE AREA,1290
AUTO / BOAT / RV DEALERSHIP,1256
AIRPORT PARKING LOT,1243
FIRE STATION,1226
JAIL / LOCK-UP FACILITY,1214
LAKEFRONT/WATERFRONT/RIVERBANK,1181
COIN OPERATED MACHINE,1128
AIRPORT TERMINAL UPPER LEVEL - NON-SECURE AREA,1118
HIGHWAY/EXPRESSWAY,1085
AIRPORT EXTERIOR - NON-SECURE AREA,1071
POOL ROOM,986
AIRPORT VENDING ESTABLISHMENT,971
DELIVERY TRUCK,962
MEDICAL / DENTAL OFFICE,958
FEDERAL BUILDING,958
AIRPORT TERMINAL LOWER LEVEL - SECURE AREA,914
ANIMAL HOSPITAL,878
AIRCRAFT,840
AIRPORT BUILDING NON-TERMINAL - SECURE AREA,786
BOWLING ALLEY,770
SCHOOL - PRIVATE GROUNDS,760
PAWN SHOP,702
BOAT/WATERCRAFT,699
SCHOOL - PRIVATE BUILDING,667
HOUSE,650
VEHICLE - COMMERCIAL,597
CREDIT UNION,562
CTA PARKING LOT / GARAGE / OTHER PROPERTY,494
CHA HALLWAY / STAIRWELL / ELEVATOR,489
"VEHICLE - OTHER RIDE SHARE SERVICE (E.G., UBER, LYFT)",467
BRIDGE,462
AIRPORT EXTERIOR - SECURE AREA,449
FOREST PRESERVE,436
FACTORY / MANUFACTURING BUILDING,433
CEMETARY,404
SAVINGS AND LOAN,389
PORCH,383
OTHER RAILROAD PROPERTY / TRAIN DEPOT,356
SPORTS ARENA / STADIUM,349
"VEHICLE - OTHER RIDE SHARE SERVICE (LYFT, UBER, ETC.)",343
VEHICLE - OTHER RIDE SERVICE,331
VEHICLE - DELIVERY TRUCK,329
YARD,294
NEWSSTAND,243
PARKING LOT,236
COLLEGE / UNIVERSITY - GROUNDS,212
LAKEFRONT / WATERFRONT / RIVERBANK,205
CTA TRACKS - RIGHT OF WAY,187
MOVIE HOUSE / THEATER,178
HIGHWAY / EXPRESSWAY,172
AIRPORT TRANSPORTATION SYSTEM (ATS),143
VACANT LOT,129
AIRPORT TERMINAL MEZZANINE - NON-SECURE AREA,117
HALLWAY,100
RETAIL STORE,96
BOAT / WATERCRAFT,83
COLLEGE / UNIVERSITY - RESIDENCE HALL,73
GANGWAY,72
GARAGE,67
GAS STATION DRIVE/PROP.,66
CHA PARKING LOT,55
CHA GROUNDS,45
TAVERN,37
CHA HALLWAY,36
BASEMENT,32
VESTIBULE,27
BARBER SHOP/BEAUTY SALON,26
HOTEL,25
STAIRWELL,22
DRIVEWAY,21
OFFICE,19
CLUB,18
KENNEL,17
SCHOOL YARD,16
RAILROAD PROPERTY,15
VEHICLE - COMMERCIAL: ENTERTAINMENT / PARTY BUS,13
HOSPITAL,12
LIQUOR STORE,12
GARAGE/AUTO REPAIR,11
VEHICLE-COMMERCIAL - ENTERTAINMENT/PARTY BUS,10
VEHICLE - COMMERCIAL: TROLLEY BUS,10
VEHICLE-COMMERCIAL - TROLLEY BUS,10
"CTA ""L"" PLATFORM",9
"CTA ""L"" TRAIN",9
CHA LOBBY,9
CTA PROPERTY,9
TRUCK,9
CHA STAIRWELL,8
FARM,8
DUMPSTER,7
MOTEL,7
WOODED AREA,7
CHURCH,6
TAXI CAB,6
NURSING HOME,6
RIVER BANK,5
TRAILER,4
RIVER,4
LAKE,4
CHA PLAY LOT,4
COACH HOUSE,3
CHA ELEVATOR,3
CHA BREEZEWAY,3
HORSE STABLE,3
SEWER,3
YMCA,3
LIVERY STAND OFFICE,2
PRAIRIE,2
PUBLIC HIGH SCHOOL,2
ROOMING HOUSE,2
CHURCH PROPERTY,2
GOVERNMENT BUILDING,2
ELEVATOR,2
COUNTY JAIL,2
BANQUET HALL,2
PUBLIC GRAMMAR SCHOOL,2
FACTORY,2
LAUNDRY ROOM,2
FUNERAL PARLOR,1
POLICE FACILITY,1
TRUCKING TERMINAL,1
CLEANERS/LAUNDROMAT,1
LOADING DOCK,1
LAGOON,1
ROOF,1
CTA SUBWAY STATION,1
POOLROOM,1
EXPRESSWAY EMBANKMENT,1
JUNK YARD/GARBAGE DUMP,1
LIVERY AUTO,1
