sale_id,product_id,quantity_sold,sale_date
6176,159,1,2020-10-03
9602,659,6,2020-11-18
747,631,6,2021-08-06
4436,216,4,2022-07-01
1496,530,1,2021-03-28
1682,238,8,2020-01-14
6990,729,1,2020-08-03
8242,622,5,2020-08-22
7818,292,10,2021-02-25
8833,910,5,2021-06-01
8731,259,5,2021-06-08
5548,790,7,2021-07-24
1249,457,4,2020-05-25
3323,37,4,2021-06-09
9598,927,1,2022-08-21
4792,469,6,2020-02-25
8186,10,8,2020-03-05
4505,458,4,2021-02-22
3392,67,4,2020-09-11
670,679,10,2020-08-20
4322,46,8,2022-06-25
6135,483,8,2021-03-25
3156,911,2,2021-07-14
772,282,5,2021-09-05
2853,654,2,2022-05-02
5462,919,6,2020-07-20
3491,664,7,2021-03-31
9617,63,6,2020-06-27
2756,145,4,2022-01-12
2495,35,1,2021-01-07
3717,351,4,2020-03-15
4746,645,1,2021-04-23
5374,425,9,2020-10-05
7993,297,9,2022-03-23
1507,608,3,2020-04-20
3011,77,9,2021-04-15
3258,540,5,2021-09-18
6340,296,10,2021-05-25
1749,427,10,2021-04-09
8983,90,4,2021-10-06
6749,565,4,2020-06-17
399,825,3,2020-06-03
6965,268,7,2022-05-21
7147,472,7,2022-01-17
2523,597,3,2022-01-06
8916,250,8,2021-06-07
7922,140,5,2021-06-17
2161,702,4,2020-07-12
4282,663,10,2022-01-14
7521,572,10,2020-06-29
8879,955,1,2022-12-22
2006,335,10,2022-02-12
7601,450,5,2021-10-24
9092,514,7,2020-02-28
3854,389,3,2021-04-13
8294,543,5,2021-06-04
2113,945,7,2022-12-03
4262,740,2,2020-08-29
4984,48,9,2020-09-15
1027,153,7,2022-08-31
8894,216,7,2022-05-26
4820,460,1,2021-08-06
2561,135,1,2022-09-19
6239,745,7,2020-05-15
5528,242,10,2020-04-12
2496,207,1,2020-05-11
7604,994,7,2020-11-03
3079,114,7,2020-12-09
7138,851,6,2020-04-05
4696,86,5,2021-08-20
2215,182,3,2020-01-13
598,931,8,2020-06-01
3918,646,4,2021-09-03
3645,658,5,2022-05-14
7338,972,4,2022-03-17
3602,599,9,2021-03-26
6802,761,2,2021-11-27
2626,38,2,2022-01-29
9782,756,1,2022-06-27
1992,540,3,2022-11-21
8727,411,7,2020-12-03
3779,482,4,2021-10-19
7482,93,2,2020-05-09
5323,422,7,2021-07-26
946,758,10,2020-12-07
4427,402,8,2021-02-09
2215,631,7,2022-06-28
3682,832,4,2020-09-15
1694,13,10,2021-10-31
7988,273,1,2020-10-25
6299,262,6,2021-07-10
32,496,1,2020-06-27
2113,313,8,2020-04-09
8973,757,5,2022-12-26
9501,533,6,2020-02-12
3805,878,3,2022-03-27
2901,199,9,2021-12-02
2038,466,8,2022-11-17
7951,835,2,2020-11-09
5698,895,8,2020-07-03
5979,412,8,2022-02-11
1139,852,8,2021-09-10
801,499,2,2021-02-02
7390,730,2,2020-11-17
8005,133,1,2022-09-22
8144,926,5,2020-03-06
1517,43,2,2020-12-01
9989,232,4,2022-08-26
2562,859,10,2020-08-15
2540,192,8,2020-06-11
8638,378,9,2020-11-03
4867,260,1,2021-12-13
9342,250,5,2021-08-10
4927,27,9,2021-07-15
2772,719,2,2022-04-28
5449,368,6,2020-08-23
503,714,10,2020-06-11
4985,703,4,2022-07-15
8989,107,6,2022-01-27
5438,526,8,2020-08-18
9994,37,7,2022-05-25
1320,780,3,2021-09-22
6622,631,2,2022-09-18
2084,71,5,2022-11-22
7308,759,5,2021-10-19
2614,551,2,2022-03-20
7900,6,2,2022-02-08
3320,429,10,2022-11-21
7241,241,1,2021-05-15
8501,138,3,2022-02-13
7164,512,4,2022-02-13
8063,335,5,2022-09-13
7437,128,10,2022-11-06
3624,707,2,2020-11-09
1537,167,3,2022-04-23
8430,923,7,2022-08-05
7889,984,2,2020-12-05
1365,455,4,2020-01-16
796,806,9,2021-06-12
123,119,1,2021-05-09
8608,312,9,2021-05-14
225,932,3,2020-02-25
6259,105,2,2022-03-26
7133,790,2,2020-08-18
2358,862,8,2021-02-03
8882,982,7,2022-07-25
7734,326,8,2020-08-30
2164,334,1,2021-08-11
5105,192,3,2022-06-24
2113,916,3,2021-04-02
4663,19,6,2021-12-31
5073,771,6,2020-04-13
455,644,3,2020-05-11
3652,54,5,2022-03-13
1756,955,8,2020-03-02
943,828,7,2020-04-13
6509,947,6,2020-12-15
362,228,8,2020-07-21
8479,392,8,2020-03-04
7740,778,5,2021-04-11
8463,749,7,2020-01-24
6315,37,1,2021-11-27
1495,711,3,2021-05-28
7743,12,2,2020-09-06
6047,973,4,2020-08-19
6787,63,3,2022-10-16
8893,36,5,2021-12-16
9671,890,6,2021-07-30
5691,207,10,2022-02-23
7409,12,10,2021-08-16
5802,224,2,2022-04-03
2618,186,3,2022-02-19
6249,203,5,2020-02-22
8181,191,1,2022-06-10
9160,62,4,2020-05-20
5900,97,6,2022-11-20
2422,535,5,2022-03-15
105,592,5,2022-07-21
4214,132,10,2020-04-28
2868,213,7,2021-10-24
7122,290,5,2020-11-16
3172,961,10,2021-03-25
6340,274,10,2022-04-11
9216,196,10,2022-07-18
8495,351,10,2021-10-11
1219,221,2,2022-01-19
7546,596,1,2021-08-26
1030,409,10,2022-08-01
5396,47,6,2022-06-29
1988,43,2,2020-12-28
6053,842,6,2020-02-01
5335,851,2,2022-10-17
3043,83,5,2020-01-01
7067,583,6,2020-10-09
5906,673,9,2021-04-14
805,530,9,2022-02-26
1686,858,2,2022-06-04
7919,747,9,2021-01-30
4487,968,3,2021-05-31
2271,434,4,2020-04-11
9886,974,5,2022-02-05
3587,242,10,2021-02-11
5922,44,10,2021-04-15
3254,8,3,2021-09-25
122,975,8,2021-08-19
4133,390,7,2021-08-19
4406,472,1,2020-04-06
5714,691,9,2020-09-11
7651,564,9,2022-09-22
9684,39,8,2020-07-16
5387,311,6,2021-01-06
9615,395,7,2021-03-21
3711,931,10,2021-06-02
4255,434,7,2020-03-27
3870,3,1,2020-02-25
2668,362,6,2022-01-17
2366,542,5,2021-10-11
3834,257,5,2020-08-06
9888,796,10,2022-02-03
1600,262,3,2022-07-24
3389,285,8,2020-05-06
6442,746,3,2022-11-12
6125,244,3,2022-12-21
6249,207,9,2020-08-23
7549,405,9,2021-07-02
560,217,10,2021-09-30
6345,152,7,2020-02-24
3673,776,5,2022-08-08
6868,441,9,2021-12-25
5378,487,6,2021-08-23
7529,526,2,2021-12-13
6155,659,3,2020-03-14
5114,193,10,2020-06-06
9146,83,3,2022-01-01
5005,153,5,2020-08-23
1892,271,3,2020-02-01
3954,997,10,2020-02-20
3894,547,8,2022-07-18
5367,664,5,2022-08-17
637,580,10,2020-07-25
4261,349,4,2022-09-05
2105,558,6,2021-05-18
7254,892,8,2020-06-12
4296,58,8,2022-12-23
2173,430,2,2022-05-03
6119,706,8,2022-10-05
6115,55,4,2021-06-22
9314,273,8,2020-10-29
8482,383,4,2021-08-18
1190,399,7,2022-01-31
1644,611,6,2020-06-21
2448,630,1,2020-04-03
5895,402,6,2022-08-05
7855,773,2,2022-12-24
5705,549,3,2021-12-26
8933,544,10,2022-08-12
6619,655,4,2022-09-09
6389,827,8,2021-06-08
4034,580,5,2022-10-07
9836,886,8,2020-07-12
450,161,7,2022-11-26
9125,623,2,2022-08-24
2581,795,7,2021-04-05
7577,854,2,2020-07-16
8643,386,6,2021-08-25
2993,899,3,2021-04-01
7740,496,4,2022-11-23
8189,878,1,2020-07-07
6563,395,2,2022-03-17
5697,183,10,2020-10-20
1539,723,1,2020-02-29
8967,257,7,2021-08-31
6478,499,5,2021-11-21
6678,861,7,2021-07-31
7442,829,3,2020-10-22
2159,638,4,2021-12-08
278,735,3,2021-07-07
6698,36,5,2022-09-08
5047,498,7,2020-04-27
9280,8,2,2020-03-10
1250,659,8,2020-03-03
1162,112,1,2022-01-25
9962,245,6,2021-01-31
8093,831,5,2020-02-11
7882,459,9,2022-03-18
4817,168,3,2022-11-01
7247,12,10,2022-06-03
3215,5,1,2022-06-07
908,342,9,2020-12-01
664,71,2,2020-12-22
1028,64,10,2020-05-25
8211,946,1,2022-09-01
4088,287,3,2022-02-19
8548,862,1,2022-12-21
1305,564,6,2022-03-24
1078,964,6,2021-10-14
4847,150,5,2022-02-26
9591,670,9,2021-04-19
9630,507,9,2020-06-25
4451,511,6,2020-08-14
3799,919,10,2021-10-23
1594,473,3,2022-05-29
9838,48,5,2021-10-17
4790,255,9,2020-05-10
2116,183,7,2020-06-11
2054,244,10,2021-10-07
4293,270,5,2020-04-07
9992,488,9,2020-06-03
3393,710,9,2021-10-06
5843,927,2,2020-08-30
4858,97,6,2020-02-17
9568,596,9,2021-11-24
1789,439,3,2021-10-31
5724,890,10,2022-12-02
5065,980,7,2021-10-09
3154,96,9,2020-02-16
8942,639,2,2022-02-10
9277,200,2,2021-05-19
5393,859,9,2021-01-27
3221,55,6,2020-05-02
9822,394,9,2021-07-01
213,31,4,2020-04-19
8860,412,10,2020-07-07
7742,901,6,2021-07-12
2682,777,6,2022-12-10
5759,904,6,2020-02-15
7755,858,3,2021-06-20
6751,302,3,2021-06-24
383,918,3,2020-10-03
268,822,2,2020-01-16
4598,651,4,2020-12-24
9480,611,6,2021-07-22
5548,500,10,2020-04-19
3603,81,7,2022-07-15
500,886,10,2020-08-10
5971,571,10,2020-11-19
7401,237,8,2020-01-06
51,201,7,2020-11-14
5747,55,2,2022-10-20
2252,167,4,2022-11-12
3584,270,10,2020-07-10
4178,237,5,2020-01-12
262,993,4,2021-03-31
9198,287,9,2021-07-27
659,15,2,2022-12-07
4680,557,4,2020-02-08
9658,555,3,2022-07-28
8564,392,7,2020-12-27
8170,374,7,2020-08-08
2488,110,2,2020-10-17
8828,583,1,2021-12-06
7380,271,3,2020-06-23
6646,717,10,2022-01-10
9356,240,5,2021-06-19
1183,21,5,2021-02-05
2843,831,8,2020-07-21
3582,873,2,2020-02-13
9884,683,2,2020-11-19
3102,150,3,2021-07-16
5797,423,7,2021-06-04
5274,458,7,2022-01-05
8505,260,7,2021-03-30
8167,366,4,2021-04-05
7750,53,4,2022-05-09
133,210,10,2022-09-14
1159,212,2,2021-05-22
5375,544,3,2020-10-12
825,644,7,2022-07-10
1599,626,4,2020-05-05
7452,96,7,2020-06-08
8870,915,3,2022-04-08
4158,99,3,2022-06-21
518,422,1,2021-04-23
2789,368,4,2020-08-30
3546,777,9,2021-08-08
9043,722,1,2020-08-16
6969,115,9,2020-07-13
3416,884,9,2020-12-12
3915,451,4,2021-05-05
1671,999,4,2022-02-28
620,466,4,2021-01-12
8722,447,5,2021-01-02
9571,75,5,2020-10-12
3651,712,1,2021-03-28
8957,291,9,2021-08-01
8057,732,10,2021-10-14
7115,235,5,2022-10-27
7957,9,4,2020-03-12
5715,183,3,2020-07-24
5283,8,5,2022-07-22
892,655,3,2020-02-01
3833,149,1,2021-09-03
2408,38,7,2020-05-01
1496,593,9,2022-12-26
9056,139,7,2020-04-23
9107,134,5,2020-07-24
3484,130,5,2021-10-14
186,224,1,2021-04-10
8868,503,7,2022-05-05
2221,792,8,2021-10-09
8623,681,1,2020-08-09
4379,254,1,2022-07-07
5759,82,9,2021-10-17
9690,666,8,2021-04-07
3919,31,1,2022-09-16
7165,858,4,2021-07-04
2798,860,8,2020-05-11
5559,143,9,2021-01-20
8035,986,9,2021-11-21
7857,718,7,2022-09-09
7812,753,9,2021-07-27
5122,460,4,2022-09-16
8390,227,5,2022-04-02
8768,333,10,2020-03-30
1158,219,1,2021-08-07
6416,811,4,2021-09-26
5770,728,3,2020-01-14
8924,858,1,2021-10-10
8954,327,7,2021-05-13
2297,946,6,2021-11-16
567,314,7,2020-11-12
2391,117,8,2021-07-31
7656,556,6,2021-03-31
6892,396,2,2022-01-01
3053,769,8,2020-05-21
6933,148,4,2020-10-15
6436,769,10,2020-06-17
4367,357,6,2021-03-06
2249,184,10,2020-06-23
2614,341,1,2022-05-17
7247,641,1,2022-07-29
1117,182,8,2022-12-05
5211,710,8,2020-08-27
4235,173,3,2022-12-27
9843,396,8,2021-11-24
5628,788,9,2021-09-11
5011,434,1,2020-10-14
7423,737,10,2021-10-17
9984,749,10,2021-11-01
5683,569,9,2020-09-28
945,661,6,2021-01-20
7392,711,5,2021-12-05
2320,909,7,2021-06-12
5881,156,7,2022-03-23
762,737,3,2020-08-09
5873,464,10,2021-07-06
5581,978,2,2021-12-19
4639,413,10,2022-09-08
6012,187,10,2022-09-17
5142,678,6,2020-05-14
1456,98,2,2022-01-20
7736,439,1,2020-11-12
8980,374,8,2021-04-02
886,500,10,2020-01-03
9013,464,2,2022-12-21
3608,654,10,2021-11-28
5407,307,8,2022-08-19
8951,180,3,2021-12-18
4531,753,3,2020-01-13
8340,4,8,2020-12-05
4563,511,2,2021-04-08
2742,941,2,2020-06-26
71,273,1,2022-09-03
6339,390,7,2021-04-12
8387,510,3,2022-04-26
3944,780,5,2022-08-04
672,406,6,2020-08-30
106,29,6,2021-10-20
6488,285,1,2022-01-02
803,644,8,2020-05-23
9147,106,2,2022-11-19
7949,988,5,2022-02-12
6427,914,2,2020-12-26
3478,961,1,2022-04-24
6087,790,9,2021-09-21
8990,77,10,2021-03-11
8785,394,7,2022-09-08
2892,907,7,2020-02-03
5889,150,9,2020-07-06
6490,79,2,2021-02-23
4805,521,8,2022-11-04
338,261,10,2020-03-03
348,548,4,2020-01-01
4942,295,8,2021-02-02
8686,679,6,2021-09-10
9131,351,1,2022-03-28
9784,201,2,2022-06-22
7908,214,1,2021-09-07
6891,668,9,2021-11-21
112,409,1,2020-06-07
1867,850,6,2021-01-27
5441,18,1,2021-07-03
8321,23,1,2021-03-16
6188,172,9,2022-11-10
5136,108,2,2020-10-31
6404,992,6,2022-07-13
2404,112,2,2020-05-12
6930,587,4,2020-02-25
7134,751,1,2020-04-19
9351,714,8,2021-02-11
6835,121,9,2021-04-19
6357,561,5,2022-04-08
6168,129,9,2021-06-12
4452,328,7,2020-07-02
206,30,7,2022-04-03
6081,743,6,2021-01-21
5819,474,5,2020-09-11
8619,772,10,2020-04-15
6990,389,10,2021-10-06
2458,713,10,2021-03-26
4638,558,9,2021-03-15
8608,356,6,2022-03-18
6814,372,9,2020-07-27
4711,520,2,2022-06-10
8174,922,3,2022-03-23
5337,144,7,2022-09-01
6737,552,3,2020-11-22
3608,76,1,2022-04-05
5491,56,6,2020-06-12
437,966,9,2021-09-30
9971,790,6,2022-09-12
2756,898,7,2022-04-24
7749,599,4,2021-09-18
2902,506,3,2021-03-08
1763,105,10,2021-03-30
8660,848,6,2021-11-18
4211,121,3,2021-07-31
8009,935,9,2022-06-01
8547,776,6,2022-09-03
8223,551,6,2020-08-02
2333,678,5,2020-08-31
8735,116,4,2020-07-10
2276,953,2,2022-12-18
2592,109,2,2020-07-06
3221,780,8,2021-08-15
1376,534,6,2021-09-15
6269,509,10,2022-07-07
1483,187,4,2021-12-27
7872,273,3,2020-08-04
4076,894,5,2022-05-19
3628,972,3,2022-11-04
2034,727,9,2021-04-09
2584,752,1,2021-07-04
6983,690,8,2022-09-08
6179,758,2,2022-01-04
8075,78,3,2021-10-06
4927,558,9,2020-12-04
9961,338,4,2022-01-10
3364,760,7,2022-01-29
7686,595,8,2022-12-15
3440,148,9,2022-02-18
6396,474,1,2021-05-09
5918,212,6,2022-02-04
4046,954,1,2022-10-09
2574,768,8,2020-04-03
5101,976,5,2021-11-20
6797,819,1,2021-04-11
2928,457,8,2020-08-09
1718,326,8,2022-02-08
4596,900,2,2020-03-22
7734,86,2,2022-08-22
945,765,5,2020-12-01
5475,425,1,2020-02-09
6869,505,7,2021-07-06
5340,891,3,2022-01-02
2665,403,2,2021-08-30
4229,991,7,2020-01-16
4708,705,10,2022-03-29
3275,623,1,2020-04-13
4546,226,2,2022-12-03
6838,278,2,2020-05-06
4619,952,5,2022-12-02
2663,904,1,2022-11-05
8741,749,4,2021-09-05
7158,483,5,2020-01-10
6649,508,7,2021-07-15
2186,143,3,2020-03-04
15,438,3,2020-06-29
2685,14,9,2022-08-22
8770,82,3,2020-01-06
6341,908,3,2021-02-23
4599,126,2,2022-09-21
1120,125,4,2022-12-22
3700,68,2,2021-03-30
720,909,8,2020-12-18
9422,10,4,2020-08-06
8522,180,5,2022-06-08
7006,127,1,2021-03-23
6706,806,9,2020-10-24
6624,313,6,2020-06-12
3683,120,5,2021-11-05
838,127,6,2021-12-16
4688,928,2,2021-05-27
9815,408,3,2021-08-19
5228,958,3,2020-09-18
8456,713,5,2021-05-28
371,87,8,2021-10-17
9657,779,4,2022-10-03
9219,462,1,2022-12-03
3358,686,6,2021-11-07
787,928,1,2020-08-17
3507,473,10,2021-11-25
6412,612,4,2020-08-17
484,251,4,2022-03-25
6656,784,6,2021-05-06
8669,216,7,2020-07-19
6011,254,6,2020-11-20
3065,56,10,2020-10-17
4828,254,3,2021-11-20
4439,1000,9,2021-06-26
4285,375,3,2021-08-27
7340,766,10,2021-10-25
3797,660,10,2022-02-03
9679,849,6,2021-08-28
9425,235,3,2020-12-08
8750,403,6,2020-10-31
5347,232,1,2021-11-13
4127,492,4,2020-11-13
1954,626,6,2022-06-30
3102,519,3,2020-03-18
5010,204,5,2021-08-26
330,654,10,2020-02-21
1458,523,8,2020-12-29
7528,771,10,2022-09-10
7699,777,8,2020-05-11
9144,340,1,2020-10-17
4387,840,9,2021-07-18
6427,567,9,2020-03-29
1886,296,1,2022-09-18
1397,902,1,2022-11-18
9726,715,8,2020-09-26
5313,779,6,2020-12-28
2525,982,5,2022-08-06
2649,778,4,2021-04-07
8480,484,9,2022-08-09
8324,200,1,2020-05-14
1907,650,1,2022-03-06
8231,316,4,2021-03-17
4725,953,9,2021-07-02
