unique_key,case_number,date,block,iucr,primary_type,description,location_description,arrest,domestic,beat,district,ward,community_area,fbi_code,x_coordinate,y_coordinate,year,updated_on,latitude,longitude,location
10772761,HZ538775,2016-12-03 05:10:00 UTC,103XX S PRAIRIE AVE,0326,ROBBERY,AGGRAVATED VEHICULAR HIJACKING,STREET,false,false,512,5,9,49,03,1179743,1836366,2016,2018-02-10 03:50:01 UTC,41.706261732,-87.617399214,"(41.706261732, -87.617399214)"
8285197,HT519061,2011-09-28 11:00:00 UTC,104XX S MICHIGAN AVE,0330,ROBBERY,AGGRAVATED,STREET,false,false,512,5,9,49,03,1178893,1835938,2011,2018-02-10 03:50:01 UTC,41.705106592,-87.620524823,"(41.705106592, -87.620524823)"
1801367,G627966,2001-10-19 01:22:07 UTC,103XX S STATE ST,0334,ROBBERY,ATTEMPT: ARMED-KNIFE/CUT INSTR,VEHICLE-COMMERCIAL,false,false,512,5,,,03,1178028,1836663,2001,2015-08-17 03:03:40 UTC,41.707115696,-87.623670455,"(41.707115696, -87.623670455)"
8384216,HT617791,2011-12-04 05:33:00 UTC,009XX E 104TH ST,0340,ROBBERY,ATTEMPT: STRONGARM-NO WEAPON,SIDEWALK,false,false,512,5,9,50,03,1184238,1836191,2011,2016-02-04 06:33:39 UTC,41.705677782,-87.600944364,"(41.705677782, -87.600944364)"
10282447,HY470399,2015-10-21 09:30:00 UTC,105XX S PRAIRIE AVE,041A,BATTERY,AGGRAVATED: HANDGUN,STREET,false,false,512,5,9,49,04B,1179781,1835085,2015,2018-02-10 03:50:01 UTC,41.702745628,-87.617299064,"(41.702745628, -87.617299064)"
5722837,HN531709,2007-08-15 11:14:48 UTC,104XX S CORLISS AVE,041A,BATTERY,AGGRAVATED: HANDGUN,SIDEWALK,false,false,512,5,9,50,04B,1183419,1836038,2007,2018-02-10 03:50:01 UTC,41.705277006,-87.603948187,"(41.705277006, -87.603948187)"
12514126,JE412301,2021-10-17 01:02:00 UTC,006XX E 103RD ST,041A,BATTERY,AGGRAVATED - HANDGUN,SIDEWALK,false,false,512,5,9,49,04B,1182206,1836800,2021,2021-10-24 04:46:46 UTC,41.707396139,-87.608366531,"(41.707396139, -87.608366531)"
2982827,HJ676432,2003-10-06 08:30:00 UTC,106XX S STATE ST,041A,BATTERY,AGGRAVATED: HANDGUN,SIDEWALK,false,false,512,5,34,49,04B,1178131,1834580,2003,2018-02-10 03:50:01 UTC,41.701397325,-87.623356158,"(41.701397325, -87.623356158)"
3203310,HK216643,2004-03-02 09:25:00 UTC,003XX W 106TH PL,041A,BATTERY,AGGRAVATED: HANDGUN,RESIDENCE,false,false,512,5,34,49,04B,1175954,1834303,2004,2018-02-10 03:50:01 UTC,41.700686169,-87.631335851,"(41.700686169, -87.631335851)"
1823417,G656505,2001-10-31 09:41:13 UTC,106XX S STATE ST,041A,BATTERY,AGGRAVATED: HANDGUN,ALLEY,false,false,512,5,,,04B,1178099,1834292,2001,2015-08-17 03:03:40 UTC,41.700607736,-87.623482023,"(41.700607736, -87.623482023)"
5106218,HM706956,2006-11-07 03:35:00 UTC,0000X E 105TH ST,041A,BATTERY,AGGRAVATED: HANDGUN,SIDEWALK,false,false,512,5,9,49,04B,1178628,1835347,2006,2018-02-28 03:56:25 UTC,41.703490822,-87.621513104,"(41.703490822, -87.621513104)"
11720691,JC303722,2019-06-12 06:04:00 UTC,0000X W 105TH ST,041A,BATTERY,AGGRAVATED - HANDGUN,ALLEY,false,false,512,5,34,49,04B,1177939,1835349,2019,2020-06-06 03:48:32 UTC,41.70351191,-87.624036004,"(41.70351191, -87.624036004)"
11387765,JB359429,2018-07-21 05:00:00 UTC,106XX S INDIANA AVE,041A,BATTERY,AGGRAVATED - HANDGUN,STREET,false,false,512,5,9,49,04B,1179467,1834436,2018,2020-03-22 03:46:35 UTC,41.700971842,-87.618468572,"(41.700971842, -87.618468572)"
9604499,HX254110,2014-05-08 08:59:00 UTC,104XX S WENTWORTH AVE,041A,BATTERY,AGGRAVATED: HANDGUN,STREET,false,false,512,5,34,49,04B,1176794,1835842,2014,2018-02-10 03:50:01 UTC,41.704890574,-87.628213954,"(41.704890574, -87.628213954)"
12320198,JE175019,2021-03-21 08:03:00 UTC,001XX W 103RD PL,041A,BATTERY,AGGRAVATED - HANDGUN,SIDEWALK,false,false,512,5,34,49,04B,1177267,1836328,2021,2021-03-28 04:57:44 UTC,41.706213585,-87.62646729,"(41.706213585, -87.62646729)"
2793655,HJ443109,2003-06-21 12:55:33 UTC,103XX S WENTWORTH AVE,041A,BATTERY,AGGRAVATED: HANDGUN,STREET,false,false,512,5,34,49,04B,1176774,1836565,2003,2018-02-28 03:56:25 UTC,41.706875037,-87.628265515,"(41.706875037, -87.628265515)"
1563121,G322954,2001-06-04 01:19:39 UTC,009XX E 104 ST,0420,BATTERY,AGGRAVATED:KNIFE/CUTTING INSTR,RESIDENCE,true,true,512,5,,,04B,1184202,1836150,2001,2015-08-17 03:03:40 UTC,41.705566113,-87.601077468,"(41.705566113, -87.601077468)"
4640039,HM231228,2006-03-14 08:45:00 UTC,105XX S WENTWORTH AVE,0420,BATTERY,AGGRAVATED:KNIFE/CUTTING INSTR,STREET,false,false,512,5,34,49,04B,1176810,1835237,2006,2018-02-10 03:50:01 UTC,41.703230009,-87.628173505,"(41.703230009, -87.628173505)"
10072035,HY260522,2015-05-14 09:21:00 UTC,003XX W 104TH ST,0420,BATTERY,AGGRAVATED:KNIFE/CUTTING INSTR,RESIDENCE,false,false,512,5,34,49,04B,1176032,1835965,2015,2018-02-10 03:50:01 UTC,41.705245191,-87.631000615,"(41.705245191, -87.631000615)"
3314747,HK351728,2004-05-08 08:00:00 UTC,105XX S LAFAYETTE AVE,0420,BATTERY,AGGRAVATED:KNIFE/CUTTING INSTR,SIDEWALK,false,false,512,5,34,49,04B,1177789,1835127,2004,2018-02-28 03:56:25 UTC,41.7029061,-87.62459196,"(41.7029061, -87.62459196)"
1977553,HH170725,2002-02-06 01:48:05 UTC,003XX W 106 PL,0420,BATTERY,AGGRAVATED:KNIFE/CUTTING INSTR,STREET,false,false,512,5,,,04B,,,2002,2016-02-04 06:33:39 UTC,,,
12116740,JD310132,2020-07-26 12:00:00 UTC,104XX S MICHIGAN AVE,0420,BATTERY,AGGRAVATED - KNIFE / CUTTING INSTRUMENT,PARKING LOT / GARAGE (NON RESIDENTIAL),false,false,512,5,9,49,04B,1178892,1835927,2020,2020-08-02 03:49:03 UTC,41.705076429,-87.620528818,"(41.705076429, -87.620528818)"
9669208,HX319183,2014-06-26 03:00:00 UTC,103XX S WABASH AVE,0420,BATTERY,AGGRAVATED:KNIFE/CUTTING INSTR,RESIDENCE,false,false,512,5,9,49,04B,1178405,1836248,2014,2018-02-10 03:50:01 UTC,41.705968345,-87.622302438,"(41.705968345, -87.622302438)"
4256528,HL572347,2005-08-26 07:00:00 UTC,001XX E 103RD PL,0420,BATTERY,AGGRAVATED:KNIFE/CUTTING INSTR,RESIDENCE,true,false,512,5,9,49,04B,1179127,1836382,2005,2018-02-28 03:56:25 UTC,41.70631967,-87.619654473,"(41.70631967, -87.619654473)"
4464219,HL761539,2005-11-29 09:05:00 UTC,008XX E 103RD ST,0420,BATTERY,AGGRAVATED:KNIFE/CUTTING INSTR,"SCHOOL, PUBLIC, BUILDING",false,false,512,5,9,50,04B,1183988,1836860,2005,2018-02-28 03:56:25 UTC,41.707519433,-87.601839023,"(41.707519433, -87.601839023)"
2766890,HJ410185,2003-06-06 01:24:33 UTC,001XX E 103RD PL,0420,BATTERY,AGGRAVATED:KNIFE/CUTTING INSTR,STREET,true,false,512,5,9,49,04B,1179113,1836381,2003,2018-02-28 03:56:25 UTC,41.706317244,-87.619705771,"(41.706317244, -87.619705771)"
4652013,HM250541,2006-03-24 02:40:00 UTC,104XX S STATE ST,0430,BATTERY,AGGRAVATED: OTHER DANG WEAPON,"SCHOOL, PUBLIC, BUILDING",false,false,512,5,34,49,04B,1178093,1835851,2006,2018-02-28 03:56:25 UTC,41.704885986,-87.623456938,"(41.704885986, -87.623456938)"
4688714,HM290025,2006-04-14 02:30:00 UTC,104XX S WENTWORTH AVE,0430,BATTERY,AGGRAVATED: OTHER DANG WEAPON,STREET,false,false,512,5,34,49,04B,1176792,1835901,2006,2018-02-28 03:56:25 UTC,41.705052523,-87.628219509,"(41.705052523, -87.628219509)"
3326134,HK364092,2004-05-12 01:30:00 UTC,002XX W 104TH ST,0430,BATTERY,AGGRAVATED: OTHER DANG WEAPON,"SCHOOL, PUBLIC, BUILDING",true,false,512,5,34,49,04B,1176537,1835978,2004,2018-02-28 03:56:25 UTC,41.705269548,-87.629150979,"(41.705269548, -87.629150979)"
3242773,HK261675,2004-03-25 02:40:00 UTC,104XX S PERRY AVE,0430,BATTERY,AGGRAVATED: OTHER DANG WEAPON,STREET,false,false,512,5,34,49,04B,1177442,1835918,2004,2018-02-28 03:56:25 UTC,41.705084544,-87.625838788,"(41.705084544, -87.625838788)"
3829801,HL199926,2005-02-24 03:15:00 UTC,106XX S EDBROOKE AVE,0430,BATTERY,AGGRAVATED: OTHER DANG WEAPON,APARTMENT,false,false,512,5,9,49,04B,1179144,1834433,2005,2018-02-28 03:56:25 UTC,41.70097096,-87.619651367,"(41.70097096, -87.619651367)"
2311847,HH602298,2002-08-24 04:35:00 UTC,103XX S RHODES AVE,0430,BATTERY,AGGRAVATED: OTHER DANG WEAPON,RESIDENCE,false,false,512,5,9,49,04B,1181742,1836356,2002,2018-02-28 03:56:25 UTC,41.706188453,-87.610079346,"(41.706188453, -87.610079346)"
7779331,HS481585,2010-08-25 08:40:00 UTC,005XX E 104TH PL,0430,BATTERY,AGGRAVATED: OTHER DANG WEAPON,SIDEWALK,false,false,512,5,9,49,04B,1182053,1835796,2010,2018-02-10 03:50:01 UTC,41.704644567,-87.608957741,"(41.704644567, -87.608957741)"
6048242,HP146671,2008-01-28 01:58:00 UTC,001XX W 104TH ST,0430,BATTERY,AGGRAVATED: OTHER DANG WEAPON,SIDEWALK,false,false,512,5,34,49,04B,1177217,1835995,2008,2018-02-10 03:50:01 UTC,41.705300913,-87.626660393,"(41.705300913, -87.626660393)"
5068751,HM654168,2006-10-06 09:30:00 UTC,103XX S COTTAGE GROVE AVE,0430,BATTERY,AGGRAVATED: OTHER DANG WEAPON,STREET,false,false,512,5,9,50,04B,1182694,1836709,2006,2018-02-10 03:50:01 UTC,41.707135136,-87.606582298,"(41.707135136, -87.606582298)"
2500214,HH841212,2002-12-16 05:58:49 UTC,106XX S MICHIGAN AVE,0430,BATTERY,AGGRAVATED: OTHER DANG WEAPON,VACANT LOT/LAND,false,false,512,5,9,49,04B,1178814,1834438,2002,2018-02-10 03:50:01 UTC,41.700992179,-87.620859552,"(41.700992179, -87.620859552)"
7071088,HR478501,2009-08-11 08:45:00 UTC,106XX S PERRY AVE,0430,BATTERY,AGGRAVATED: OTHER DANG WEAPON,RESIDENTIAL YARD (FRONT/BACK),true,false,512,5,34,49,04B,1177489,1834257,2009,2018-02-28 03:56:25 UTC,41.700525466,-87.625716657,"(41.700525466, -87.625716657)"
8918116,HV590568,2012-12-05 06:37:00 UTC,106XX S STATE ST,0430,BATTERY,AGGRAVATED: OTHER DANG WEAPON,SMALL RETAIL STORE,true,false,512,5,34,49,04B,1178142,1834202,2012,2018-02-10 03:50:01 UTC,41.700359791,-87.62332729,"(41.700359791, -87.62332729)"
2775111,HJ419701,2003-06-10 11:40:00 UTC,103XX S MICHIGAN AVE,0430,BATTERY,AGGRAVATED: OTHER DANG WEAPON,STREET,true,false,512,5,9,49,04B,1178964,1836624,2003,2018-02-28 03:56:25 UTC,41.706987456,-87.620244029,"(41.706987456, -87.620244029)"
11226012,JB145416,2018-02-08 12:23:00 UTC,008XX E 103RD ST,0440,BATTERY,AGG: HANDS/FIST/FEET NO/MINOR INJURY,"SCHOOL, PUBLIC, BUILDING",true,false,512,5,9,50,08B,1183988,1836860,2018,2018-05-04 03:51:04 UTC,41.707519433,-87.601839023,"(41.707519433, -87.601839023)"
11301146,JB243867,2018-04-30 01:10:00 UTC,002XX W 103RD PL,0454,BATTERY,AGG PO HANDS NO/MIN INJURY,"SCHOOL, PUBLIC, BUILDING",false,false,512,5,34,49,08B,1176480,1836309,2018,2018-05-07 04:03:09 UTC,41.706179138,-87.629349797,"(41.706179138, -87.629349797)"
8508569,HV185716,2012-03-06 04:15:00 UTC,007XX E 105TH ST,0454,BATTERY,AGG PO HANDS NO/MIN INJURY,STREET,true,false,512,5,9,50,08B,1183082,1835492,2012,2018-02-10 03:50:01 UTC,41.703786538,-87.605199138,"(41.703786538, -87.605199138)"
12211748,JD420562,2020-11-04 11:22:00 UTC,105XX S EDBROOKE AVE,0454,BATTERY,"AGGRAVATED P.O. - HANDS, FISTS, FEET, NO / MINOR INJURY",STREET,true,false,512,5,9,49,08B,1179132,1834978,2020,2020-12-17 03:44:58 UTC,41.702466788,-87.61967877,"(41.702466788, -87.61967877)"
2952303,HJ640979,2003-09-19 02:35:00 UTC,106XX S LANGLEY AVE,0460,BATTERY,SIMPLE,STREET,false,false,512,5,9,50,08B,1182795,1834652,2003,2018-02-28 03:56:25 UTC,41.701488123,-87.606276035,"(41.701488123, -87.606276035)"
1437303,G160725,2001-03-21 08:49:51 UTC,106XX S EBERHART AV,0460,BATTERY,SIMPLE,STREET,false,false,512,5,,,08B,1181431,1834229,2001,2015-08-17 03:03:40 UTC,41.700358846,-87.611283506,"(41.700358846, -87.611283506)"
1441829,G169844,2001-03-25 12:55:00 UTC,104XX S PRAIRIE AV,0460,BATTERY,SIMPLE,STREET,false,true,512,5,,,08B,1179798,1835847,2001,2015-08-17 03:03:40 UTC,41.704836272,-87.617213613,"(41.704836272, -87.617213613)"
1571127,G331792,2001-06-08 01:50:12 UTC,106XX S COTTAGE GROVE,0460,BATTERY,SIMPLE,SIDEWALK,false,true,512,5,,,08B,1182364,1834413,2001,2015-08-17 03:03:40 UTC,41.70084225,-87.607861575,"(41.70084225, -87.607861575)"
1586492,G351463,2001-06-17 04:30:00 UTC,105XX S RHODES AV,0460,BATTERY,SIMPLE,RESIDENCE,false,false,512,5,,,08B,1181739,1835104,2001,2015-08-17 03:03:40 UTC,41.70275287,-87.610128834,"(41.70275287, -87.610128834)"
1507677,G250676,2001-05-02 08:10:01 UTC,104XX S STATE ST,0460,BATTERY,SIMPLE,RESIDENCE,false,true,512,5,,,08B,1178059,1835643,2001,2015-08-17 03:03:40 UTC,41.704315974,-87.623587719,"(41.704315974, -87.623587719)"
7209318,HR624049,2009-11-03 02:00:00 UTC,002XX W 106TH ST,0460,BATTERY,SIMPLE,ALLEY,false,false,512,5,34,49,08B,1176608,1834651,2009,2018-02-28 03:56:25 UTC,41.701626477,-87.628930732,"(41.701626477, -87.628930732)"
7365649,HS165550,2010-02-15 03:00:00 UTC,105XX S EDBROOKE AVE,0460,BATTERY,SIMPLE,STREET,false,false,512,5,9,49,08B,1179132,1834992,2010,2018-02-10 03:50:01 UTC,41.702505206,-87.619678345,"(41.702505206, -87.619678345)"
9807255,HX456523,2014-10-05 06:30:00 UTC,105XX S EDBROOKE AVE,0460,BATTERY,SIMPLE,SIDEWALK,false,false,512,5,9,49,08B,1179133,1835035,2014,2018-02-10 03:50:01 UTC,41.702623181,-87.619673379,"(41.702623181, -87.619673379)"
5323702,HN183602,2007-02-18 06:40:00 UTC,009XX E 104TH ST,0460,BATTERY,SIMPLE,APARTMENT,false,false,512,5,9,50,08B,1184238,1836191,2007,2018-02-28 03:56:25 UTC,41.705677782,-87.600944364,"(41.705677782, -87.600944364)"
5448991,HN274219,2007-04-09 01:00:00 UTC,103XX S COTTAGE GROVE AVE,0460,BATTERY,SIMPLE,"SCHOOL, PUBLIC, BUILDING",false,false,512,5,9,50,08B,1182698,1836734,2007,2018-02-28 03:56:25 UTC,41.707203646,-87.606566877,"(41.707203646, -87.606566877)"
4575096,HM153719,2006-01-30 03:30:00 UTC,104XX S COTTAGE GROVE AVE,0460,BATTERY,SIMPLE,SIDEWALK,false,false,512,5,9,50,08B,1182592,1836062,2006,2018-02-28 03:56:25 UTC,41.705362046,-87.606975803,"(41.705362046, -87.606975803)"
4593336,HM184287,2006-02-16 10:20:00 UTC,008XX E 103RD ST,0460,BATTERY,SIMPLE,"SCHOOL, PUBLIC, BUILDING",false,false,512,5,9,50,08B,1183988,1836860,2006,2018-02-10 03:50:01 UTC,41.707519433,-87.601839023,"(41.707519433, -87.601839023)"
2064144,HH284292,2002-04-04 04:30:00 UTC,106XX S INDIANA AV,0460,BATTERY,SIMPLE,STREET,false,false,512,5,,,08B,1179468,1834388,2002,2018-02-10 03:50:01 UTC,41.7008401,-87.618466369,"(41.7008401, -87.618466369)"
2204118,HH456562,2002-06-21 08:25:00 UTC,106XX S WENTWORTH AVE,0460,BATTERY,SIMPLE,APARTMENT,false,true,512,5,34,49,08B,1176828,1834573,2002,2018-02-10 03:50:01 UTC,41.701407493,-87.628127503,"(41.701407493, -87.628127503)"
8004239,HT234463,2011-04-04 07:00:00 UTC,003XX E 103RD ST,0460,BATTERY,SIMPLE,SIDEWALK,false,false,512,5,9,49,08B,1180161,1836741,2011,2018-02-10 03:50:01 UTC,41.707281236,-87.615857089,"(41.707281236, -87.615857089)"
10021201,HY210776,2015-04-04 11:00:00 UTC,106XX S LANGLEY AVE,0460,BATTERY,SIMPLE,RESIDENCE,false,false,512,5,9,50,08B,1182795,1834645,2015,2018-02-10 03:50:01 UTC,41.701468915,-87.606276251,"(41.701468915, -87.606276251)"
9045419,HW190475,2013-03-13 12:00:00 UTC,103XX S CORLISS AVE,0460,BATTERY,SIMPLE,"SCHOOL, PUBLIC, BUILDING",false,false,512,5,9,50,08B,1183397,1836757,2013,2018-02-10 03:50:01 UTC,41.707250544,-87.604006449,"(41.707250544, -87.604006449)"
9079273,HW224170,2013-04-06 03:00:00 UTC,106XX S WENTWORTH AVE,0460,BATTERY,SIMPLE,STREET,false,false,512,5,34,49,08B,1176828,1834573,2013,2018-02-10 03:50:01 UTC,41.701407493,-87.628127503,"(41.701407493, -87.628127503)"
8941371,HV612827,2012-12-22 10:32:00 UTC,106XX S STATE ST,0460,BATTERY,SIMPLE,RESIDENCE,false,true,512,5,34,49,08B,1178134,1834477,2012,2018-02-10 03:50:01 UTC,41.70111461,-87.623348282,"(41.70111461, -87.623348282)"
1716976,G518445,2001-08-30 09:40:00 UTC,103XX S INDIANA AV,0460,BATTERY,SIMPLE,RESIDENCE,false,true,512,5,,,08B,1179446,1836492,2001,2015-08-17 03:03:40 UTC,41.706614264,-87.618482975,"(41.706614264, -87.618482975)"
7457150,HS245574,2010-03-07 10:20:00 UTC,002XX W 104TH ST,0460,BATTERY,SIMPLE,"SCHOOL, PUBLIC, BUILDING",true,false,512,5,34,49,08B,1176490,1835977,2010,2018-02-10 03:50:01 UTC,41.705267858,-87.629323117,"(41.705267858, -87.629323117)"
